date,close_price,open_price,high_price,low_price,up,down,trading_volume
2021.08.13,"101,500","99,600","101,500","98,900","1,000",0,"11,622,957"
2021.08.17,"101,500","101,000","103,500","100,500",0,0,"7,851,717"
2021.08.18,"104,000","103,000","105,500","101,500","2,500",0,"8,047,599"
2021.08.19,"102,500","103,000","105,500","101,500",0,"-1,500","6,161,038"
2021.08.20,"102,500","104,000","104,500","102,000",0,0,"4,719,139"
2021.08.23,"103,000","104,500","105,000","103,000",500,0,"4,515,699"
2021.08.24,"105,000","104,500","105,500","104,000","2,000",0,"4,454,743"
2021.08.25,"103,500","106,000","106,000","102,500",0,"-1,500","3,194,555"
2021.08.26,"104,000","106,000","106,500","103,500",500,0,"3,694,741"
2021.08.27,"103,500","103,500","104,500","101,000",0,-500,"3,507,782"
2021.08.30,"103,500","105,000","105,500","103,500",0,0,"1,815,758"
2021.08.31,"106,500","103,500","106,500","102,000","3,000",0,"4,979,276"
2021.09.01,"108,000","106,000","108,000","104,500","1,500",0,"4,736,183"
2021.09.02,"106,500","108,000","108,500","106,000",0,"-1,500","2,724,565"
2021.09.03,"107,000","106,500","107,500","106,000",500,0,"2,513,486"
2021.09.06,"106,000","106,500","107,000","105,000",0,"-1,000","1,888,595"
2021.09.07,"104,500","105,500","106,000","104,000",0,"-1,500","2,547,667"
2021.09.08,"106,000","104,000","107,500","103,500","1,500",0,"2,891,267"
2021.09.09,"103,000","105,000","106,000","103,000",0,"-3,000","3,233,011"
2021.09.10,"105,000","103,500","105,500","103,000","2,000",0,"1,999,369"
2021.09.13,"106,500","105,000","107,000","104,000","1,500",0,"1,923,344"
2021.09.14,"107,500","107,500","108,500","106,500","1,000",0,"2,463,248"
2021.09.15,"107,500","107,500","107,500","105,500",0,0,"2,933,797"
2021.09.16,"104,000","107,000","107,500","104,000",0,"-3,500","3,602,821"
2021.09.17,"107,000","104,500","107,500","104,000","3,000",0,"3,386,517"
2021.09.23,"105,500","105,500","107,000","105,000",0,"-1,500","2,493,313"
2021.09.24,"104,000","106,000","106,500","104,000",0,"-1,500","2,236,954"
2021.09.27,"104,500","104,000","105,500","103,500",500,0,"1,839,358"
2021.09.28,"103,500","105,000","105,500","103,000",0,"-1,000","2,951,945"
2021.09.29,"100,000","101,000","102,000","99,700",0,"-3,500","6,353,977"
2021.09.30,"103,000","99,900","103,500","99,600","3,000",0,"3,910,557"
2021.10.01,"100,000","102,000","102,500","100,000",0,"-3,000","2,681,124"
2021.10.05,"97,900","98,900","99,500","97,200",0,"-2,100","3,244,145"
2021.10.06,"96,500","98,400","98,700","95,800",0,"-1,400","2,816,951"
2021.10.07,"95,700","96,300","96,800","95,000",0,-800,"3,834,957"
2021.10.08,"94,000","96,200","96,300","93,500",0,"-1,700","4,098,832"
2021.10.12,"91,500","92,400","92,900","90,800",0,"-2,500","4,728,215"
2021.10.13,"92,000","90,900","93,500","90,500",500,0,"3,045,438"
2021.10.14,"93,800","92,400","94,500","92,100","1,800",0,"2,414,639"
2021.10.15,"98,400","96,000","98,500","95,700","4,600",0,"4,229,748"
2021.10.18,"97,100","98,300","98,300","96,700",0,"-1,300","2,111,399"
2021.10.19,"97,700","98,600","98,600","97,100",600,0,"1,400,175"
2021.10.20,"97,900","98,200","98,600","97,200",200,0,"2,010,529"
2021.10.21,"96,300","97,300","98,300","96,100",0,"-1,600","2,152,221"
2021.10.22,"98,500","95,500","99,200","95,500","2,200",0,"1,962,833"
2021.10.25,"100,000","99,500","101,500","98,300","1,500",0,"2,950,459"
2021.10.26,"102,000","101,500","103,500","101,000","2,000",0,"3,458,645"
2021.10.27,"101,500","103,000","104,000","101,500",0,-500,"2,859,255"
2021.10.28,"106,500","102,000","107,500","101,500","5,000",0,"6,329,703"
2021.10.29,"103,000","107,000","108,500","103,000",0,"-3,500","4,007,223"
2021.11.01,"106,500","103,500","107,000","102,500","3,500",0,"3,118,661"
2021.11.02,"107,500","107,000","108,500","106,500","1,000",0,"2,892,292"
2021.11.03,"105,500","108,500","109,000","104,500",0,"-2,000","3,116,506"
2021.11.04,"106,000","107,000","108,000","105,500",500,0,"2,059,242"
2021.11.05,"107,000","108,000","108,500","105,500","1,000",0,"2,523,345"
2021.11.08,"107,500","107,000","108,000","104,000",500,0,"2,212,348"
2021.11.09,"109,000","108,000","110,000","107,500","1,500",0,"3,440,686"
2021.11.10,"108,500","108,500","109,500","107,500",0,-500,"2,361,295"
2021.11.11,"107,500","107,500","108,000","105,500",0,"-1,000","2,731,498"
2021.11.12,"106,500","109,000","109,500","105,500",0,"-1,000","1,786,165"
2021.11.15,"111,000","108,500","111,500","108,000","4,500",0,"4,701,568"
2021.11.16,"112,000","111,000","113,000","109,000","1,000",0,"3,767,311"
2021.11.17,"110,500","113,000","113,000","110,000",0,"-1,500","3,062,491"
2021.11.18,"110,000","110,000","111,000","109,000",0,-500,"1,928,891"
2021.11.19,"111,500","110,000","112,500","110,000","1,500",0,"2,324,668"
2021.11.22,"119,500","116,500","121,000","116,000","8,000",0,"9,786,492"
2021.11.23,"119,000","119,500","121,000","117,500",0,-500,"4,847,270"
2021.11.24,"119,500","120,500","122,500","118,000",500,0,"4,001,111"
2021.11.25,"117,500","120,500","121,000","117,000",0,"-2,000","3,339,835"
2021.11.26,"115,500","116,500","118,500","113,000",0,"-2,000","4,337,936"
2021.11.29,"116,000","113,000","118,500","113,000",500,0,"4,412,863"
2021.11.30,"114,000","118,000","119,000","112,500",0,"-2,000","7,449,608"
2021.12.01,"116,500","114,500","117,500","112,000","2,500",0,"4,214,135"
2021.12.02,"120,000","115,500","120,500","115,000","3,500",0,"6,980,518"
2021.12.03,"118,000","119,000","119,500","115,500",0,"-2,000","4,567,843"
